year_built,permalink,property_id,listing,primary_photo,sold_date,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1922,2308-Fairfax-Ave_Richmond_VA_23224_M54655-83510,5465583510,2961744439,https://ap.rdcpix.com/3332bb21ba0dab0f98be330c0b7e9a89l-m1779884546s-w1024_h768.jpg,2024-01-12,11539,1292,2,0,3,23224,Virginia,Richmond,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,2834-E-18th-St_Indianapolis_IN_46218_M48338-37899,4833837899,2961630179,https://ap.rdcpix.com/16c0a7229f75e6a747eb0cef43ebcb4fl-m307704757s-w1024_h768.jpg,2023-12-16,6970,1360,1,2,2,46218,Indiana,Indianapolis,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1901,1161-22nd-St_Des-Moines_IA_50311_M74396-18807,7439618807,2962332776,https://ap.rdcpix.com/c69953c937d2f3ef28d95f1c67f5bf9bl-b1100254163s-w1024_h768.jpg,2024-01-08,12197,3857,3,0,4,50311,Iowa,Des Moines,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0
1939,1432-Ashland-Ave_Saint-Paul_MN_55104_M85867-63935,8586763935,2960042613,https://ap.rdcpix.com/188c2a60e17160032aef29a14fdfd93fl-m2264361724s-w1024_h768.jpg,2024-01-12,5968,1600,1,2,3,55104,Minnesota,Saint Paul,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
1978,2014-Catlin-Pl_Madison_WI_53713_M81922-86356,8192286356,2961400302,https://ap.rdcpix.com/e314ac4aa8d2caa506a25e96aff1b6ael-m3871729856s-w1024_h768.jpg,2024-01-03,3920,1431,2,2,3,53713,Wisconsin,Madison,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1
1978,4387-Wares-Ferry-Rd_Montgomery_AL_36109_M78991-23899,7899123899,2962211734,https://ap.rdcpix.com/cf5788032ffb9fa45853c80e986d38c7l-m3464357290s-w1024_h768.jpg,2024-01-01,26136,1500,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2010,1820-Peachtree-St-NW-Unit-1107_Atlanta_GA_30309_M59298-60536,5929860536,2958157977,https://ap.rdcpix.com/d0bdf9f7a8af23edc434bcfa3ebb9a99l-m398667742s-w1024_h768.jpg,2024-01-08,1699,1700,3,2,3,30309,Georgia,Atlanta,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1
1928,1334-60th-St_Des-Moines_IA_50311_M76189-94587,7618994587,2959334940,https://ap.rdcpix.com/0e55156197045c04891abdf749e272c6l-m4198355999s-w1024_h768.jpg,2024-01-12,8233,910,1,0,1,50311,Iowa,Des Moines,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
1987,2224-Highland-Cir_Harrisburg_PA_17110_M41986-18753,4198618753,2960473913,https://ap.rdcpix.com/2c71aec2dcb794e634814bc185bbeaa2l-b1095368052s-w1024_h768.jpg,2023-12-29,3049,1476,3,2,2,17110,Pennsylvania,Harrisburg,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1
1945,1906-Seddon-Rd_Richmond_VA_23227_M54358-18171,5435818171,2962260394,https://ap.rdcpix.com/21cb93418508814dc835e4f77152bb5dl-m11010308s-w1024_h768.jpg,2024-01-10,6251,783,1,0,2,23227,Virginia,Richmond,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1995,2959-Paddington-Dr_Tallahassee_FL_32309_M66695-77022,6669577022,2961966323,https://ap.rdcpix.com/ad002666cb85b08a8aa9407c5e7081e0l-m707931249s-w1024_h768.jpg,2024-01-12,6098,1893,2,2,4,32309,Florida,Tallahassee,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0
1975,3507-SE-18th-Ct_Des-Moines_IA_50320_M70880-26289,7088026289,2958774079,https://ap.rdcpix.com/4fdb0c7636e74d7f339a7c9702387919l-m1489984487s-w1024_h768.jpg,2024-01-05,14375,1034,2,2,3,50320,Iowa,Des Moines,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
1979,6029-Ellendale-Dr_Lansing_MI_48911_M34845-46769,3484546769,2960200400,https://ap.rdcpix.com/320670a74b94cae707645db53118c4b4l-b2713046900s-w1024_h768.jpg,2024-01-09,8276,1921,2,0,3,48911,Michigan,Lansing,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1
1952,7417-Sunnyside-Rd-SE_Salem_OR_97306_M15736-69785,1573669785,2960224394,https://ap.rdcpix.com/c032ac5b06b6cf22d459ebfc7ef5f20al-m1036982471s-w1024_h768.jpg,2024-01-05,14375,1793,2,2,4,97306,Oregon,Salem,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1968,1212-SW-92nd-St_Oklahoma-City_OK_73139_M83108-99358,8310899358,2962089895,https://ap.rdcpix.com/93e1a88ad46dbeb41b2de76a7c731d53l-m3179428985s-w1024_h768.jpg,2024-01-12,6970,1269,2,2,3,73139,Oklahoma,Oklahoma City,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1957,2315-65th-Ct-SW_Olympia_WA_98512_M13384-19336,1338419336,2958228394,https://ap.rdcpix.com/c372514db4fa6e5ae3de4f33f9318720l-b1855681361s-w1024_h768.jpg,2024-01-05,30300,2238,2,2,2,98512,Washington,Olympia,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
1956,4-Pauline-Ave_Albany_NY_12203_M40942-61184,4094261184,2961732390,https://ap.rdcpix.com/e96fe034048034bfc9f0b9a3a97e0a48l-m1042025484s-w1024_h768.jpg,2024-01-05,14810,1290,1,1,3,12203,New York,Guilderland,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1
2004,1035-Shores-St-NE_Salem_OR_97301_M15538-61974,1553861974,2959811539,https://ap.rdcpix.com/fd4f219b07ed0f707a3f0fa213f312eal-b3752898229s-w1024_h768.jpg,2024-01-08,4791,1276,2,2,3,97301,Oregon,Salem,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
2000,1490-Hackworth-St_Columbus_OH_43207_M37417-90117,3741790117,2959105260,https://ap.rdcpix.com/816a6f1ecaa5dc7af12975bdd15d0fbal-m2755005864s-w1024_h768.jpg,2023-10-11,5663,1469,3,2,3,43207,Ohio,Columbus,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
1986,3139-Sutton-Dr_Montgomery_AL_36111_M70129-48010,7012948010,2960865829,https://ap.rdcpix.com/c79ab0203ab07b75961087a8da4576eal-b3801220453s-w1024_h768.jpg,2024-01-10,6970,1650,2,0,3,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1999,2097-Mink-Run-Rd_Frankfort_KY_40601_M35171-14695,3517114695,2959875469,https://ap.rdcpix.com/2c0f58e3f93e47190f02497b9d06902el-m3726172093s-w1024_h768.jpg,2023-12-19,145490,1250,2,0,3,40601,Kentucky,Frankfort,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1915,116-Hawthorne-Rd_Raleigh_NC_27605_M56596-64478,5659664478,2961494019,https://ap.rdcpix.com/ee898070aee3ad9327cca10284659f4al-m4073365300s-w1024_h768.jpg,2024-01-16,8712,4179,5,0,6,27605,North Carolina,Raleigh,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
2004,56-E-Darby-Cir_Dover_DE_19904_M67731-04713,6773104713,2959278191,https://ap.rdcpix.com/2274706b918285e694c1d453a71d65bfl-m3831524481s-w1024_h768.jpg,2023-12-13,14504,3085,3,0,5,19904,Delaware,Dover,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
1950,6350-Maple-Dr_Indianapolis_IN_46220_M43561-56048,4356156048,2960034516,https://ap.rdcpix.com/4efaa315c9efa7ef5856ef69f07b6cddl-m142039890s-w1024_h768.jpg,2023-12-05,12197,1822,1,1,3,46220,Indiana,Indianapolis,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1989,13020-Silent-Wood-Pl_Henrico_VA_23233_M57870-29564,5787029564,2962300630,https://ap.rdcpix.com/990f458d5376c27ee2d100ba468201f5l-m3044692593s-w1024_h768.jpg,2024-01-11,14331,1884,3,1,4,23233,Virginia,Henrico,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0
2014,12516-Edison-Dr_Oklahoma-City_OK_73120_M75665-47035,7566547035,2962355532,https://ap.rdcpix.com/d490168d7c43674f8e4d376a70c0ab19l-b3223767992s-w1024_h768.jpg,2024-01-16,7148,1787,2,2,3,73120,Oklahoma,Oklahoma City,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0
2003,10928-Spring-Green-Dr_Indianapolis_IN_46229_M30066-48843,3006648843,2961572132,https://ap.rdcpix.com/16684f2824ddfd6f6edd6724679d724bl-m4204759314s-w1024_h768.jpg,2023-12-20,10890,3240,3,2,4,46229,Indiana,Indianapolis,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0
2021,1022-Fawn-Haven-Walk_Dover_DE_19901_M90256-73962,9025673962,2958825673,https://ap.rdcpix.com/81ad79c821bb1fc5ecd76990174925d2l-m3663875049s-w1024_h768.jpg,2023-11-30,27831,2770,3,2,4,19901,Delaware,Dover,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0
1986,70A-Franklin-St_Boston_MA_02134_M30414-10965,3041410965,2958963557,https://ap.rdcpix.com/aa2499a3e0c4a5a807c13cf24f6255e1l-m1261584988s-w1024_h768.jpg,2024-01-16,1620,1620,2,0,2,2134,Massachusetts,Boston,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
1941,715-Boone-Rd-SE_Salem_OR_97306_M28183-66785,2818366785,2960549880,https://ap.rdcpix.com/b051e5e59ef6e752636de6486195e0bcl-m419687295s-w1024_h768.jpg,2023-12-29,13068,1891,3,2,3,97306,Oregon,Salem,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
1978,4387-Wares-Ferry-Rd_Montgomery_AL_36109_M78991-23899,7899123899,2962211734,https://ap.rdcpix.com/cf5788032ffb9fa45853c80e986d38c7l-m3464357290s-w1024_h768.jpg,2024-01-01,26136,1500,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1995,6606-Troon-Ln-SE_Olympia_WA_98501_M17032-90179,1703290179,2960787864,https://ap.rdcpix.com/c592ebd4a631f7457096f8ef78242eael-b2139385501s-w1024_h768.jpg,2024-01-10,11800,2700,3,3,3,98501,Washington,Olympia,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
1985,629-Geneva-Ln-SE_Olympia_WA_98513_M15032-20706,1503220706,2960914667,https://ap.rdcpix.com/a064b7852a208a8bdd864866959c1b88l-m284707107s-w1024_h768.jpg,2023-12-28,2209,1072,2,0,3,98513,Washington,Olympia,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
1972,1317-Lenore-Ave_Lansing_MI_48910_M44719-93819,4471993819,2960317147,https://ap.rdcpix.com/1ddbfe675da8461aaeb2204ef007791al-b3962854255s-w1024_h768.jpg,2024-01-08,4617,1442,2,0,4,48910,Michigan,Lansing,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
1989,4339-Robertson-Blvd_Indianapolis_IN_46228_M39536-54826,3953654826,2957495651,https://ap.rdcpix.com/44766a579a64314fd7a7221a49a7fdb4l-m4035331870s-w1024_h768.jpg,2023-09-19,14375,1520,3,2,4,46228,Indiana,Indianapolis,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0
1956,1101-Hickory-Ln_Midwest-City_OK_73110_M75078-80814,7507880814,2961357371,https://ap.rdcpix.com/e053463e093d0bef792dbf256959de00l-m3303133388s-w1024_h768.jpg,2024-01-12,7841,858,1,1,3,73110,Oklahoma,Midwest City,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
